R1W;R1X;R1Y;R1Z;R2W;R2X;R2Y;R2Z;R3W;R3X;R3Y;R3Z;R4W;R4X;R4Y;R4Z;R5W;R5X;R5Y;R5Z;R6W;R6X;R6Y;R6Z;R7W;R7X;R7Y;R7Z;L1W;L1X;L1Y;L1Z;L2W;L2X;L2Y;L2Z;L3W;L3X;L3Y;L3Z;L4W;L4X;L4Y;L4Z;L5W;L5X;L5Y;L5Z;L6W;L6X;L6Y;L6Z;L7W;L7X;L7Y;L7Z
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4998;-0,0118;-0,0045;0,0004;0,4998;-0,0095;-0,0085;-0,0005;0,4999;-0,0068;-0,0092;0,0004;0,4999;-0,009;-0.0021;0.0001;0.4998;0.0141;-0.0061;0.0006;0.5000;-0.0022;0.0004;-0.0000;0.4998;0.0118;-0.0100;0.0005
0,6395;-0,1075;-0,0599;-0,0793;0,4967;0,0281;-0,0484;0,0118;0,4039;-0,1902;-0,2214;0,0407;0,4071;-0,2232;-0,1834;0,0284;0,4192;-0,0163;-0,2704;0,0303;0,4209;-0,0262;-0,2622;-0,0582;0,4889;-0,0473;0,0907;0,023;0,6062;-0,1923;-0,0679;0,0171;0,6079;-0,1668;-0,1144;-0,0016;0,6353;-0,1121;-0,1091;0,0172;0,7163;-0,1684;-0.0614;-0.0633;0.6533;0.1013;-0.0594;0.0154;0.6700;-0.0386;0.0007;-0.0011;0.6666;0.0450;-0.0517;0.0034
0,7549;-0,1963;-0,0835;-0,102;0,6677;0,0376;-0,0642;0,0166;0,5414;-0,254;-0,2975;0,0563;0,5459;-0,2983;-0,2466;0,0395;0,5626;-0,0204;-0,3622;0,0422;0,5639;-0,038;-0,3515;-0,0824;0,6568;-0,0638;0,1216;0,0325;0,6574;-0,2853;-0,1017;0,0268;0,6591;-0,249;-0,1698;-0,0016;0,7002;-0,1674;-0,163;0,0284;0,7848;-0,2256;-0.0808;-0.0885;0.7260;0.1530;-0.0899;0.0271;0.7538;-0.0618;0.0008;-0.0024;0.7447;0.0744;-0.0889;0.0071
0,8015;-0,2379;-0,0928;-0,1151;0,7526;0,0423;-0,072;0,0191;0,6096;-0,2848;-0,3363;0,0658;0,6148;-0,3353;-0,2789;0,0462;0,6338;-0,0218;-0,4081;0,0493;0,6343;-0,0462;-0,396;-0,0982;0,7401;-0,0725;0,1372;0,0387;0,6871;-0,3416;-0,1233;0,0335;0,6885;-0,2992;-0,2043;-0,0011;0,7374;-0,2016;-0,1974;0,0371;0,8172;-0,2562;-0.0895;-0.1041;0.7673;0.1881;-0.1094;0.0377;0.8032;-0.0781;0.0011;-0.0037;0.7882;0.0978;-0.1184;0.0112
0,8258;-0,2626;-0,0971;-0,1251;0,8031;0,045;-0,0769;0,0209;0,6501;-0,3023;-0,3601;0,0729;0,6561;-0,3564;-0,2986;0,0507;0,6759;-0,022;-0,4356;0,0546;0,6755;-0,0529;-0,4224;-0,1107;0,7895;-0,0779;0,1466;0,0435;0,7063;-0,3793;-0,1383;0,0389;0,7074;-0,3331;-0,228;-0,0003;0,7612;-0,2245;-0,2215;0,0447;0,8355;-0,2755;-0.0938;-0.1159;0.7933;0.2138;-0.1227;0.0477;0.8355;-0.0907;0.0013;-0.0051;0.8154;0.1164;-0.1413;0.0156
0,8403;-0,2791;-0,0993;-0,1337;0,8364;0,0469;-0,08;0,0223;0,6767;-0,3133;-0,3765;0,0788;0,6832;-0,3703;-0,3121;0,0545;0,7037;-0,0216;-0,454;0,0589;0,7021;-0,0589;-0,4397;-0,1214;0,822;-0,0817;0,1528;0,0476;0,7197;-0,4061;-0,1496;0,0437;0,7203;-0,3575;-0,2455;0,0008;0,7777;-0,2406;-0,2396;0,0517;0,8469;-0,2889;-0.0962;-0.1259;0.8109;0.2334;-0.1319;0.0574;0.8583;-0.1007;0.0015;-0.0067;0.8339;0.1311;-0.1589;0.0201
0,8495;-0,2911;-0,1002;-0,1416;0,8599;0,0483;-0,0822;0,0233;0,6953;-0,3206;-0,3887;0,0839;0,7023;-0,38;-0,3221;0,0579;0,7233;-0,0209;-0,467;0,0627;0,7205;-0,0644;-0,4519;-0,1311;0,8449;-0,0846;0,1572;0,0514;0,7296;-0,4259;-0,1586;0,0482;0,7301;-0,3753;-0,2588;0,0017;0,7897;-0,2523;-0,2539;0,0582;0,8545;-0,2986;-0.0973;-0.1349;0.8235;0.2491;-0.1383;0.0669;0.8751;-0.1086;0.0017;-0.0082;0.8471;0.1431;-0.1728;0.0247
0,8558;-0,3001;-0,1003;-0,1492;0,8775;0,0494;-0,0838;0,0242;0,7091;-0,3256;-0,3981;0,0887;0,7164;-0,3871;-0,3298;0,061;0,7379;-0,02;-0,4767;0,0662;0,7337;-0,0699;-0,4607;-0,1404;0,8619;-0,087;0,1605;0,055;0,7371;-0,4411;-0,1662;0,0522;0,7375;-0,3892;-0,2693;0,0028;0,7987;-0,2611;-0,2655;0,0644;0,8596;-0,3063;-0.0976;-0.1432;0.8328;0.2619;-0.1427;0.0763;0.8880;-0.1150;0.0020;-0.0099;0.8570;0.1534;-0.1837;0.0292
0,86;-0,3073;-0,0999;-0,1564;0,891;0,0502;-0,0851;0,0251;0,7197;-0,329;-0,4058;0,0932;0,7272;-0,3924;-0,336;0,0638;0,7491;-0,019;-0,4843;0,0693;0,7435;-0,0752;-0,4673;-0,1493;0,875;-0,0889;0,163;0,0584;0,7431;-0,4531;-0,1725;0,056;0,7432;-0,4003;-0,278;0,004;0,8057;-0,2677;-0,2751;0,0704;0,8631;-0,3125;-0.0973;-0.1510;0.8397;0.2725;-0.1456;0.0856;0.8983;-0.1202;0.0022;-0.0115;0.8647;0.1619;-0.1924;0.0338
0,863;-0,313;-0,0989;-0,1634;0,9017;0,0509;-0,0862;0,0259;0,7279;-0,3313;-0,4122;0,0974;0,7358;-0,3965;-0,3412;0,0665;0,7579;-0,0178;-0,4903;0,0723;0,7508;-0,0803;-0,4724;-0,1579;0,8853;-0,0906;0,1649;0,0617;0,7478;-0,4628;-0,1781;0,0595;0,7479;-0,4092;-0,2854;0,0053;0,8112;-0,2727;-0,2834;0,0763;0,8656;-0,3175;-0.0965;-0.1585;0.8450;0.2816;-0.1474;0.0948;0.9066;-0.1245;0.0025;-0.0132;0.8709;0.1691;-0.1994;0.0385
0,865;-0,3179;-0,0977;-0,1703;0,9105;0,0515;-0,087;0,0267;0,7348;-0,3333;-0,4171;0,101;0,7427;-0,3997;-0,3456;0,0691;0,7651;-0,0166;-0,4953;0,0751;0,7564;-0,0853;-0,4763;-0,1663;0,8937;-0,092;0,1665;0,0649;0,7516;-0,4707;-0,183;0,0629;0,7517;-0,4166;-0,2915;0,0066;0,8156;-0,2765;-0,2906;0,0821;0,8673;-0,3216;-0.0954;-0.1659;0.8491;0.2894;-0.1484;0.1040;0.9135;-0.1282;0.0027;-0.0149;0.8759;0.1753;-0.2050;0.0432
0,8663;-0,3219;-0,0964;-0,177;0,9177;0,0528;-0,0879;0,0272;0,7406;-0,3349;-0,4211;0,104;0,7485;-0,402;-0,3496;0,0712;0,7709;-0,0154;-0,4994;0,0778;0,7607;-0,09;-0,4793;-0,1746;0,9005;-0,0933;0,1677;0,068;0,7548;-0,4774;-0,1874;0,0663;0,7548;-0,4228;-0,2971;0,0081;0,8192;-0,2794;-0,297;0,0878;0,8683;-0,3252;-0.0943;-0.1730;0.8520;0.2966;-0.1487;0.1130;0.9193;-0.1313;0.0030;-0.0166;0.8800;0.1808;-0.2097;0.0480
0,867;-0,3255;-0,0949;-0,1837;0,9236;0,0547;-0,0888;0,0276;0,7455;-0,3363;-0,4244;0,1066;0,7531;-0,4042;-0,3533;0,0728;0,7758;-0,0142;-0,5029;0,0805;0,7639;-0,0947;-0,4816;-0,1826;0,9063;-0,0945;0,1687;0,0711;0,7574;-0,4829;-0,1915;0,0698;0,7574;-0,428;-0,3019;0,0095;0,8221;-0,2815;-0,3028;0,0934;0,8687;-0,3285;-0.0929;-0.1800;0.8543;0.3028;-0.1484;0.1221;0.9242;-0.1340;0.0033;-0.0184;0.8834;0.1857;-0.2134;0.0527
0,8672;-0,3287;-0,0932;-0,1904;0,9287;0,0568;-0,0895;0,0279;0,7497;-0,3376;-0,4271;0,1086;0,7568;-0,4063;-0,3568;0,0742;0,78;-0,0128;-0,5058;0,0832;0,7663;-0,0995;-0,4834;-0,1906;0,9111;-0,0956;0,1694;0,0741;0,7596;-0,4873;-0,1954;0,0732;0,7598;-0,4324;-0,3061;0,0109;0,8245;-0,2831;-0,308;0,099;0,8688;-0,3314;-0.0913;-0.1869;0.8559;0.3083;-0.1476;0.1312;0.9284;-0.1363;0.0035;-0.0202;0.8863;0.1901;-0.2165;0.0575
0,867;-0,3317;-0,0914;-0,1972;0,933;0,0588;-0,0902;0,0282;0,7534;-0,3385;-0,4294;0,1103;0,7599;-0,4081;-0,3598;0,0753;0,7835;-0,0115;-0,5084;0,0857;0,768;-0,1043;-0,4848;-0,1984;0,9154;-0,0963;0,1697;0,0766;0,7616;-0,4911;-0,1992;0,0765;0,7618;-0,4361;-0,3099;0,0123;0,8264;-0,2842;-0,3129;0,1045;0,8685;-0,334;-0.0894;-0.1939;0.8570;0.3133;-0.1465;0.1402;0.9321;-0.1383;0.0038;-0.0219;0.8887;0.1941;-0.2191;0.0623
0,8666;-0,3341;-0,0894;-0,2038;0,9368;0,0606;-0,0909;0,0285;0,7567;-0,3394;-0,4314;0,1118;0,7626;-0,4097;-0,3624;0,0762;0,7865;-0,0102;-0,5107;0,0883;0,7691;-0,109;-0,4858;-0,2061;0,9192;-0,097;0,1698;0,0789;0,7632;-0,4944;-0,2026;0,0796;0,7636;-0,4392;-0,3135;0,0138;0,8279;-0,2849;-0,3173;0,11;0,8679;-0,3363;-0.0876;-0.2008;0.8576;0.3179;-0.1451;0.1492;0.9353;-0.1401;0.0041;-0.0237;0.8908;0.1978;-0.2211;0.0671
0,8659;-0,3363;-0,0874;-0,2105;0,9401;0,0626;-0,0914;0,0288;0,7595;-0,3403;-0,4333;0,113;0,765;-0,4111;-0,3649;0,0771;0,7891;-0,0088;-0,5126;0,0909;0,7697;-0,1138;-0,4865;-0,2137;0,9225;-0,0976;0,1698;0,0808;0,7645;-0,4973;-0,2059;0,0828;0,7651;-0,442;-0,3168;0,0153;0,8292;-0,2852;-0,3214;0,1155;0,8671;-0,3383;-0.0857;-0.2076;0.8578;0.3220;-0.1434;0.1583;0.9382;-0.1417;0.0044;-0.0255;0.8925;0.2012;-0.2228;0.0719
0,8649;-0,3384;-0,0854;-0,2172;0,943;0,0644;-0,0919;0,0289;0,762;-0,3411;-0,4348;0,1142;0,7671;-0,4124;-0,367;0,0778;0,7914;-0,0074;-0,5143;0,0934;0,7699;-0,1185;-0,4869;-0,2213;0,9255;-0,0982;0,1697;0,0826;0,7657;-0,4996;-0,2091;0,086;0,7665;-0,4443;-0,3198;0,0167;0,8305;-0,2853;-0,3248;0,1204;0,866;-0,3403;-0.0837;-0.2144;0.8577;0.3258;-0.1414;0.1673;0.9407;-0.1431;0.0046;-0.0273;0.8940;0.2044;-0.2242;0.0767
0,8637;-0,3404;-0,0834;-0,2238;0,9456;0,0659;-0,0924;0,029;0,7642;-0,3419;-0,4362;0,1153;0,769;-0,4134;-0,369;0,0783;0,7934;-0,006;-0,5159;0,0959;0,7698;-0,1231;-0,4871;-0,2289;0,9281;-0,0988;0,1696;0,0841;0,7667;-0,5015;-0,2122;0,0891;0,7678;-0,4464;-0,3225;0,0182;0,8318;-0,2853;-0,3276;0,1249;0,8649;-0,3419;-0.0819;-0.2211;0.8573;0.3293;-0.1394;0.1762;0.9430;-0.1444;0.0049;-0.0292;0.8952;0.2075;-0.2253;0.0816
0,8624;-0,3419;-0,0814;-0,2304;0,9479;0,0673;-0,0928;0,0291;0,7662;-0,3424;-0,4375;0,1161;0,7707;-0,4144;-0,3707;0,0788;0,7952;-0,0046;-0,5172;0,0984;0,7694;-0,1278;-0,4871;-0,2364;0,9305;-0,0993;0,1695;0,0855;0,7676;-0,5033;-0,2151;0,0921;0,7689;-0,4481;-0,3251;0,0197;0,8331;-0,2853;-0,33;0,129;0,8637;-0,3431;-0.0802;-0.2277;0.8570;0.3323;-0.1378;0.1844;0.9450;-0.1455;0.0052;-0.0310;0.8962;0.2103;-0.2262;0.0864
